Company,Indicator,Context,Metric,Metric Unit,Latest Year
ABSA Group Limited,Environment,"No corporate title (contractors)  34  47  7  30  86  1  205  12  79  13  18  93  1  216  421 Total  1 238  5 060  1 301  2 500  4 836  16  14 951  1 534  9 600  3 104  3 952  5 320  11  23 521  38 472Absa social data – DiversityEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators10 Indicator Trend 2022 2021 2020 2019 Targets/Comments Physical footprint Branches  919  989  991  1 012  ATMs   6 416  8 668  9 734  9 873  Point of sale (POS) devices   114 895  123 153  124 432  115 708  Digital Number of digitally active customers  2 982 000 2 688 000 2 390 000 1 886 000 2019 restated to include Absa Regional operations Affordable housing (SA only) Affordable home loans – number of customers   6 843  7 932  5 308  2 894 Number cumulative from 2018 Affordable home loans – value (Rbn) ",894,Number,2022
ABSA Group Limited,Environment,"3.9  4.3  2.8  2.2  Borrower education programme – number of customers   6 960  9 084  7 160  6 337 Restated Government Finance-linked Individual Subsidy Programme   – number of customers   469  127  143  190  Total affordable home loan book (Rbn)   16.8  10.3  9.8  9.2 Absa social data – CustomersEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators11 Indicator Trend 2022 2021 2020 2019 Targets/Comments Citizenship Citizenship disbursements (Rm)  267 195 380 371 Literacy Consumer financial education programme – number of beneficiaries   79 173  32 639  52 246  149 529  Consumer financial education programme – investment (Rm)   33.8  14.0  27.7  34.3  ReadytoWork participants  29 881  20 620  20 914  35 168 Absa social data – Other externalEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators12 Training Indicator Trend 2022 2021 2020 2019 Training spend (Rm)   500.0  449.0  406.2  450.5 Average hours training per person   48.47  55.33  56.42  39.24 Number of programmes accessed   7 035  7 294  5 047  4 719 Total hours for programmes accessed (m)   1.7  1.9  1.3  1.0 Average training hours per person, by gender and by race, excluding compliance training African Coloured Indian White Not disclosed Total 2022 Total  51.87  52.57  54.00  47.09  12.86  40.13  Female  55.23  52.76  54.43  52.63  14.34  44.62  Male  45.60  53.61  46.66  38.51  11.31  33.32  Not known – – – –  6.40  6.40  2021 Total  54.71  55.51  53.10  51.12  17.31  43.77 Female  56.84  57.36  63.17  54.44  16.95  47.66 Male  50.64  51.03  39.86  45.91  17.73  37.80 Not known  –  –  –  –  14.14  14.14 2020 Total  33.76  40.66  30.76  29.24  12.50  29.71 Female  42.34  43.12  36.26  35.05  12.43  33.96 Male  31.89  34.81  23.58  19.98  12.56  23.02 Not known  38.76  38.91  25.36  30.11  15.16  30.12 2019 Total  38.76  39.91  25.36  30.11  15.16  30.12 Female  41.32  39.10  28.32  32.22  14.15  32.49 Male  33.91  38.46  21.69  26.77  16.27  26.38Social data – Talent developmentEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators13 Average training hours per person, by gender and by race, including compliance training African Coloured Indian White Not disclosed Total 2022 Total  61.07  62.19  65.33  56.22  18.24  48.47  Female  65.45  62.70  64.23  62.86  19.75  52.85  Male  55.77  64.40  56.16  48.47  17.03  41.26  Not known – – – –  16.78  16.78  2021 Total  69.08  69.02  62.97  62.67  24.59  55.33 Female  72.10  71.41  73.66  67.14  24.23  60.20 Male  63.32  63.24  48.91",39.24,Number,2022
ABSA Group Limited,Environment,"582 682  961 865  765 348  793 220 Online learning via mobile-enabled platforms (interventions)  4 517  3 961  2 908  3 094Social data – Talent development continuedEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators15 Training delivery type 2022 2021 2020 2019 Number of Number of Number of Number of Training programmes Training programmes Training programmes Training programmes hours utilised hours utilised hours utilised hours utilised Face-to-face (workshops) – – – –  102 445.1  326  703 803.3  1 178 Virtual (online)",2019,Number,2022
ABSA Group Limited,Material,834 208.2 5 131 961 864.8 3 961  765 348.7  2 908  793 220.4  3 094 Virtual (classroom)  816 658.7 973 856 976.5 903  407 319.2  631  – – Material (self-study)  21 540.4 361 63 479.8 1 987  13 919.7  708  5 693.7  270 Tests/assessments  7 388.7 70 26 267.3 59  2 472.0  88  5 746.8  167 Video (online)  21 867.8 500 35 800.6 384  8 780.3  386  1 236.8  116 Total  1 701 663.8 7 035 1 944 389 7 294  1 300 285.0  5 047  1 509 701.0  4 825 External learning programmes 2022 2021 2020 2019 Number of Number of Number of Number of Training programmes Training programmes Training programmes Training programmes hours utilised hours utilised hours utilised hours utilised Financial advisory and   intermediary services continuing  professional developments  12 403.8  122 14 621.3  84  9 025.0  58  12 527.6  89 Behavioural  670 788.0 2 055 717 616.6  1 909  222 248.0  1 290  305 142.7  1 732 Compliance  277 660.4  426 391 666.4  463  194 385.3  364  338 511  216 Leadership and management  277 393.1  566 145 923.8  829  119 405.2  527  110 506.4  684 Technical  659 424.2 3 866 674 561.3  3 911  755 221.4  2 692  743 018.3  2 104 1,2019,Number,2022
ABSA Group Limited,Environment,"2 920  22  10  67.1 2020 Of which: Male Female Total Disabled Disabled AIC  Number of delegates male female % Senior management  134  168  302  3 –  68.5 Middle management  1 095  786  1 881  3  2  68.7 Junior management  180  146  326  7  2  89.3 Non-management and non-permanent  294  94  388 – –  43.6 Total  1 703  1 194  2 897  13  4  67.7Social data – Talent development continuedEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators20 Coaching 2022 2021 Number of employees Number of employees Coaching Coaching Coaching Coaching in progress completed in progress completed Executive and leadership coaching 46",2021,Number,2022
Accelerate Property Fund LTD,Material,"See our  stakeholder  engagements from  page 38.Delivering value  to stakeholders Accelerate Property Fund 4 Portfolio overview by GLA  64,90,9 34,2 2022: 31,02022: 60,12022: 8,9 % Retail Office Industrial Regional overview by GLA  73,50,2 20,5 2022: 20,02022: 74,52022: 0,2 %5,8 2022: 5,3 Gauteng Western Cape Limpopo MpumalangaFourways MallIntegrated report 2023 7 Our company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statements How we operate Our board is responsible for the overall direction, strategy and supervision of the company.",2,%,2023
Accelerate Property Fund LTD,Waste,"Net asset value (NA V) per share  R4,13 (2022: R6,21)R750,0 million three-year funding    (2022: two funders to the value of R700,0 million)  Sale of non-core assets to the   value of R146,0 million for  reinvestment into core portfolio/ repayment of debtT otal debt R4,5 billion  (2022: R4,6 billion)Undrawn facilities of   approximately R218,0 million (2022: R223 million) Energy usage:   11,191  kWh per m2  (2022: 14,6165 kWh per m2)Water usage:    0,038  kℓ per m2  (2022: 0,0675 kℓ per m2)Waste:   recycled 24,017 tons per month (2022: 10,545 per month)R31,5 million remuneration paid, with no retrenchments.",191,kWh,2022
Accelerate Property Fund LTD,Waste,"Net asset value (NA V) per share  R4,13 (2022: R6,21)R750,0 million three-year funding    (2022: two funders to the value of R700,0 million)  Sale of non-core assets to the   value of R146,0 million for  reinvestment into core portfolio/ repayment of debtT otal debt R4,5 billion  (2022: R4,6 billion)Undrawn facilities of   approximately R218,0 million (2022: R223 million) Energy usage:   11,191  kWh per m2  (2022: 14,6165 kWh per m2)Water usage:    0,038  kℓ per m2  (2022: 0,0675 kℓ per m2)Waste:   recycled 24,017 tons per month (2022: 10,545 per month)R31,5 million remuneration paid, with no retrenchments.",6165,kWh,2022
Accelerate Property Fund LTD,Waste,"Net asset value (NA V) per share  R4,13 (2022: R6,21)R750,0 million three-year funding    (2022: two funders to the value of R700,0 million)  Sale of non-core assets to the   value of R146,0 million for  reinvestment into core portfolio/ repayment of debtT otal debt R4,5 billion  (2022: R4,6 billion)Undrawn facilities of   approximately R218,0 million (2022: R223 million) Energy usage:   11,191  kWh per m2  (2022: 14,6165 kWh per m2)Water usage:    0,038  kℓ per m2  (2022: 0,0675 kℓ per m2)Waste:   recycled 24,017 tons per month (2022: 10,545 per month)R31,5 million remuneration paid, with no retrenchments.",17,tons,2022
Accelerate Property Fund LTD,Material,"7,6 7,7 6,6 2022 7,0 7,0 7,2 6,8 Weighted average lease  period (years)2023 3,3 2,5 4,2 – 2022 3,9 3,5 5,2 3,3 Integrated report 2023 51 Sectoral type by GLA  64,90,9 34,2 2022: 31,02022: 60,12022: 8,9 % Retail Office Industrial Sectoral type by GLA  64,90,9 34,2 2022: 31,02022: 60,12022: 8,9 % Retail Office Industrial Sectoral type by value 71,5 28,2 2022: 27,62022: 70,9%0,3 2022: 1,5 The Buzz Shopping CentreOur company    overviewY ear in    reviewLeadership    reviewMaterial themes    and focus areasOur business    driversOur    portfolioSustainability    in action GovernanceAnnual financial   statementsIntegrated report 2023 53 Retail  Our retail portfolio includes a diverse selection of  shopping centres.",9,%,2023
