Company,Indicator,Context,Metric,Metric Unit,Latest Year
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),2,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),5,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),10,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),20,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),30,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),40,years,2022
ABSA Group Limited,Employees,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),41,years,2022
ABSA Group Limited,Employees,94.8 95.4 96.5 93.2 Number of trade unions  16 15 13 14 Absentee rate (%)  1.40 1.71 1.12 1.57 Employees with disabilities (%),93.2,Number,2022
ABSA Group Limited,Employees,94.8 95.4 96.5 93.2 Number of trade unions  16 15 13 14 Absentee rate (%)  1.40 1.71 1.12 1.57 Employees with disabilities (%),1.57,Employees,2022
ABSA Group Limited,Employees,0.06 0.03 0.08 0.25 Employees completing training on OHS policy and procedures (%)  42 40 94 98 Total number of person days lost due to industrial action = nil nil nil nil Percentage of total person days lost due to industrial action (%) = nil nil nil nil Fatal-injury frequency rate (number of fatalities per 200 000 person  hours worked) = nil nil nil nil Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (South Africa)  0.36 0.06 0.11 0.15 Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (Absa Regional Operations)  0.28 0.03 0.02 0.11 Number of lost-time injuries (injuries on duty leading to at least  one lost day) ,0.25,Employees,2022
ABSA Group Limited,Employees,0.06 0.03 0.08 0.25 Employees completing training on OHS policy and procedures (%)  42 40 94 98 Total number of person days lost due to industrial action = nil nil nil nil Percentage of total person days lost due to industrial action (%) = nil nil nil nil Fatal-injury frequency rate (number of fatalities per 200 000 person  hours worked) = nil nil nil nil Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (South Africa)  0.36 0.06 0.11 0.15 Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (Absa Regional Operations)  0.28 0.03 0.02 0.11 Number of lost-time injuries (injuries on duty leading to at least  one lost day) ,0.11,Number,2022
ABSA Group Limited,Employees," 10 15 27 53Absa social data – Operations continuedEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators8 2022 Employees per race and  management level Male Female Grand Category Grade Indian African Coloured White ARO International Total Indian African Coloured White ARO International Total total Senior management MP  14  29  3  56  22  4  128  7  14  3  11  8  1  44  172  P  122  163  37  238  125  23  708  76  146  36  125  59  6  448  1 156  Middle management VP  350  724  180  748  424  49  2 475  307  685  172  593  213  5  1 975  4 450  AVP  329  1 416  321  592  794  65  3 517  404  1 864  546  908  573  8  4 303  7 820  Junior management BA4  101  963  228  178  968  10  2 448  196  1 742  616  520  877  5  3 956  6 404  BA3  81  1 026  224  97  1 290 –  2 718  246  2 979  940  663  1 611 –  6 439  9 157  Non-management BA2  33  540  126  27  507 –  1 233  117  1 736  437  179  825 –  3 294  4 527  BA1 –  14 – –  567 –  581 –  18  2 –  885 –  905  1 486",2022,Employees,2022
ABSA Group Limited,Employees,No corporate title (contractors)  3  31  3  1  62 –  100  3  35  6  2  133 –  179  279  Total  1 033  4 906  1 122  1 937  4 759  151  13 908  1 356  9 219  2 758  3 001  5 184  25  21 543  35 451  2021 Employees per race and  management level Male Female Grand Category Grade Indian African Coloured White ARO International Total Indian African Coloured White ARO International Total total Senior management MP  11  22  3  43  17  3  99  4  9  1  8  9  1  32  131 P  109  147  30  262  132  21  701  70  118  34  114  58  5  399  1 100 Middle management VP  369  630  181  786  420  51  2 437  303  596  165  607  205  4  1 880  4 317 AVP  326  1 389  329  677  751  67  3 539  419  1 747  525  1 000  551  4  4 246  7 785 Junior management BA4  109  891  228  181  895  11  2 315  193,2021,Employees,2021
ABSA Group Limited,Employees,"No corporate title (contractors)  26  42  8  15  45  4  140  5  53  13  12  50 –  133  273 Total  1 075  4 662  1 164  2 127  4 618  159  13 805  1 395  8 914  2 825  3 325  4 983  20  21 462  35 267Absa social data – DiversityEnvironment Social Tax Governance ShareholdersAbsa Group Limited  2022 E nvironmental, Social and Governance Indicators9 2020 Employees per race and  management level Male Female Grand Category Grade Indian African Coloured White ARO International Total Indian African Coloured White ARO International Total total Senior management MP  13  19  3  45  21  1  102  5  9  2  10  7  1  34  136 P  96  142  29  267  124  11  669  70  109  32  110  61  5  387  1 056 Middle management VP  357  581  174  803  426  7  2 348  287  526  163  628  223  3  1 830  4 178 AVP  357  1 357  348  773  770  3  3 608  448  1 708  541  1 118  573  2  4 390  7 998 Junior management BA4  119  874  248  202  905 –  2 348  213  1 535  546  586  782  1  3 663  6 011 BA3  95  1 071  292  160  1 278 –  2 896  297  3 106  1 119  972  1 550 –  7 044  9 940 Non-management BA2  46  673  147  31  565 –  1 462  131  2 122  549  235  865 –  3 902  5 364 BA1 –  10  2 –  683 –  695 –  5  1 –  1 072 –  1 078  1 773",2020,Employees,2022
