Company,Indicator,Context,Metric,Metric Unit,Latest Year
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),2,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),5,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),10,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),20,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),30,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),40,years,
ABSA Group Limited,Employee tenure,internal candidates  61.2% 70.4% 74.6% 68.7% Internal promotions of which are women  61.6% 53.8% 51.7% 58.7% Employee movements (permanent employees) (%) New hires of which are women  51.4 45.3 44.7 49.8 Employee turnover  9.2 8.7 7.0 11.9 Male  11.0 10.1 8.4 13.2 Female = 8.0 8.0 6.2 9.9 Voluntary attrition  7.4 6.4 4.9 6.3 Employee tenure (%) 0 – 2 years  16.3 14.1 16.9 21.8 3 – 5 years  17.0 18.7 18.4 17.2 6 – 10 years  22.6 22.5 21.4 18.6 11 – 20 years  31.3 31.8 30.3 30.0 21 – 30 years  8.2 8.3 8.6 8.6 31 – 40 years  4.4 4.3 4.2 3.8 > 41 years = 0.2 0.2 0.1 0.1 Employee diversity (%),41,years,
ABSA Group Limited,Employees,94.8 95.4 96.5 93.2 Number of trade unions  16 15 13 14 Absentee rate (%)  1.40 1.71 1.12 1.57 Employees with disabilities (%),1.57,Employees,
ABSA Group Limited,Operations,43 25 52 128 Days lost due to injuries  298 185 124 830 Fatalities = nil nil nil nil Work-injury rate (South Africa)  0.07 0.06 0.11 0.24 Work-injury rate (Absa Regional Operations) ,128,Days,
ABSA Group Limited,Employees,0.06 0.03 0.08 0.25 Employees completing training on OHS policy and procedures (%)  42 40 94 98 Total number of person days lost due to industrial action = nil nil nil nil Percentage of total person days lost due to industrial action (%) = nil nil nil nil Fatal-injury frequency rate (number of fatalities per 200 000 person  hours worked) = nil nil nil nil Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (South Africa)  0.36 0.06 0.11 0.15 Lost-time injury frequency rate (number of lost-time injuries  per 200 000 person hours worked) (Absa Regional Operations)  0.28 0.03 0.02 0.11 Number of lost-time injuries (injuries on duty leading to at least  one lost day) ,0.25,Employees,
